resolution;threads;policy;runtime;
256;1;static;runtime;
256;1;static1;runtime;
256;1;dynamic;runtime;
256;2;static;runtime;
256;2;static1;runtime;
256;2;dynamic;runtime;
256;4;static;runtime;
256;4;static1;runtime;
256;4;dynamic;runtime;
256;8;static;runtime;
256;8;static1;runtime;
256;8;dynamic;runtime;
256;10;static;runtime;
256;10;static1;runtime;
256;10;dynamic;runtime;
256;20;static;runtime;
256;20;static1;runtime;
256;20;dynamic;runtime;
256;40;static;runtime;
256;40;static1;runtime;
256;40;dynamic;runtime;